Overriding config with config/train_23S_pairs_0_18_6_300_abs2_flash.py:
# train 23S rRNA using token library from set {single, pairs, triples, quadruples}

init_from = 'scratch' # 'scratch' to init a new model from scratch, 'resume' to continue training.
device = 'cuda'
compile = True
flash = True  # Turn off scaled_dot_product_attention by default. JHDC

out_dir = '/home/ubuntu/software/jamie_rna_llm/out/' # Example for 23S_97tokens_train.bin, etc. as input.
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = '23S'
wandb_run_name = 'pairs'

# Base name for 23S_97tokens_train.bin, 23S_97tokens_val.bin, meta_23S_97tokens.pkl, for example.
basename = '23S_pairs'
data_dir = '/home/ubuntu/software/jamie_rna_llm/data/'
batch_size = 18
block_size = 384 # context of up to block_size previous characters

# baby GPT model :) Set 0 < n_fixed <= n_layer for finetuning.
n_fixed = 0
n_layer = 18
n_head =  6
n_embd = 300
dropout = 0.2

learning_rate = 5e-5 # with baby networks can afford to go a bit higher
max_iters = 1500000
lr_decay_iters =  50000 # make equal to max_iters usually, but not always.
min_lr = 5e-6 # learning_rate / 10 usually
beta2 = 0.998 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

Thu Feb 22 22:07:33 2024
grad_clip= 1.0
found vocab_size = 25 (inside /home/ubuntu/software/jamie_rna_llm/data/23S_pairs_meta.pkl)
Initializing a new model from scratch
number of parameters: 19.46M
compiling the model... (takes a ~minute)
iter 1830: loss 1.2090, time 104.01ms, mfu 2.88%
iter 1840: loss 1.2455, time 104.01ms, mfu 2.89%
iter 1850: loss 1.3302, time 104.01ms, mfu 2.90%
iter 1860: loss 1.3195, time 104.03ms, mfu 2.92%
iter 1870: loss 1.3724, time 104.08ms, mfu 2.93%
iter 1880: loss 1.3088, time 104.02ms, mfu 2.93%
iter 1890: loss 1.2518, time 104.03ms, mfu 2.94%
iter 1900: loss 1.3016, time 104.02ms, mfu 2.95%
iter 1910: loss 1.3321, time 104.00ms, mfu 2.96%
iter 1920: loss 1.3022, time 104.13ms, mfu 2.96%
iter 1930: loss 1.3142, time 104.16ms, mfu 2.97%
iter 1940: loss 1.3069, time 104.05ms, mfu 2.97%
iter 1950: loss 1.3760, time 104.07ms, mfu 2.98%
iter 1960: loss 1.2752, time 103.98ms, mfu 2.98%
iter 1970: loss 1.3227, time 104.03ms, mfu 2.98%
iter 1980: loss 1.2699, time 104.02ms, mfu 2.99%
iter 1990: loss 1.3042, time 104.07ms, mfu 2.99%
step 2000: train loss 1.3069, val loss 1.3065
iter 2000: loss 1.3700, time 16993.34ms, mfu 2.69%
iter 2010: loss 1.2272, time 104.05ms, mfu 2.73%
iter 2020: loss 1.2555, time 104.01ms, mfu 2.75%
iter 2030: loss 1.2469, time 104.09ms, mfu 2.78%
iter 2040: loss 1.1884, time 104.11ms, mfu 2.80%
iter 2050: loss 1.3114, time 104.63ms, mfu 2.82%
iter 2060: loss 1.3706, time 104.13ms, mfu 2.84%
iter 2070: loss 1.2688, time 104.05ms, mfu 2.86%
iter 2080: loss 1.3609, time 104.06ms, mfu 2.88%
iter 2090: loss 1.3641, time 104.17ms, mfu 2.89%
iter 2100: loss 1.2494, time 104.07ms, mfu 2.90%
iter 2110: loss 1.3069, time 104.07ms, mfu 2.91%
iter 2120: loss 1.2525, time 103.99ms, mfu 2.92%
iter 2130: loss 1.3731, time 104.02ms, mfu 2.93%
iter 2140: loss 1.3173, time 104.07ms, mfu 2.94%
iter 2150: loss 1.2781, time 104.06ms, mfu 2.95%
iter 2160: loss 1.3767, time 104.08ms, mfu 2.95%
iter 2170: loss 1.3105, time 104.14ms, mfu 2.96%
iter 2180: loss 1.3043, time 104.08ms, mfu 2.97%
iter 2190: loss 1.3677, time 104.01ms, mfu 2.97%
iter 2200: loss 1.3692, time 104.10ms, mfu 2.98%
iter 2210: loss 1.3680, time 104.11ms, mfu 2.98%
iter 2220: loss 1.2999, time 104.06ms, mfu 2.98%
iter 2230: loss 1.2681, time 103.95ms, mfu 2.99%
iter 2240: loss 1.2316, time 104.07ms, mfu 2.99%
step 2250: train loss 1.3061, val loss 1.3166
iter 2250: loss 1.2038, time 17002.84ms, mfu 2.69%
iter 2260: loss 1.2695, time 104.02ms, mfu 2.72%
iter 2270: loss 1.2515, time 104.04ms, mfu 2.75%
iter 2280: loss 1.3201, time 104.07ms, mfu 2.78%
iter 2290: loss 1.3153, time 104.08ms, mfu 2.80%
iter 2300: loss 1.3292, time 104.09ms, mfu 2.82%
iter 2310: loss 1.3712, time 104.09ms, mfu 2.84%
iter 2320: loss 1.1735, time 104.13ms, mfu 2.86%
iter 2330: loss 1.2642, time 104.03ms, mfu 2.88%
iter 2340: loss 1.3285, time 104.13ms, mfu 2.89%
iter 2350: loss 1.3229, time 104.14ms, mfu 2.90%
iter 2360: loss 1.3043, time 104.06ms, mfu 2.91%
iter 2370: loss 1.3165, time 104.06ms, mfu 2.92%
iter 2380: loss 1.3724, time 104.07ms, mfu 2.93%
iter 2390: loss 1.3729, time 104.25ms, mfu 2.94%
iter 2400: loss 1.3122, time 104.25ms, mfu 2.95%
iter 2410: loss 1.1800, time 104.08ms, mfu 2.95%
iter 2420: loss 1.2025, time 104.12ms, mfu 2.96%
iter 2430: loss 1.2993, time 104.09ms, mfu 2.97%
iter 2440: loss 1.2570, time 104.10ms, mfu 2.97%
iter 2450: loss 1.1979, time 104.06ms, mfu 2.97%
iter 2460: loss 1.3192, time 104.12ms, mfu 2.98%
iter 2470: loss 1.3767, time 105.13ms, mfu 2.98%
iter 2480: loss 1.3710, time 104.10ms, mfu 2.98%
iter 2490: loss 1.2670, time 104.06ms, mfu 2.99%
