Overriding config with config/finetune_231RNAs_0_18_6_300_rot_flash.py:
# finetune 23S rRNA using token library from set {single, pairs, triples, quadruples}

init_from = 'resume' # 'scratch' to init a new model from scratch, 'resume' to continue training.
device = 'cuda'
compile = True
flash = True  # Turn off scaled_dot_product_attention by default. JHDC

out_dir = '/home/ubuntu/software/jamie_rna_llm/out/' # Example for 23S_97tokens_train.bin, etc. as input.
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# finetuning might cause some issues with the val loss. Either reset best_val_loss during training or just run a defined
# number of iterations.
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = '231RNAs'
wandb_run_name = 'triples-finetune'

# Base name for 23S_97tokens_train.bin, 23S_97tokens_val.bin, meta_23S_97tokens.pkl, for example.
pretrained = '231RNAs_triples_0_18_6_300_rot_flash'
basename = '231RNAs_Thermo_triples'
data_dir = '/home/ubuntu/software/jamie_rna_llm/data/'
batch_size = 48
block_size = 384 # context of up to block_size previous characters

# baby GPT model :) Set 0 < n_fixed <= n_layer for finetuning.
n_fixed = 0
n_layer = 18
n_head =  6
n_embd = 300
dropout = 0.2

learning_rate = 2e-5 # with baby networks can afford to go a bit higher
max_iters = 1200000 # early 1277500 # 1269250 is stopping val in train_23S_triples_0_6_6_480.log
lr_decay_iters = 50000 # make equal to max_iters usually, but not always.
min_lr = 2e-6 # learning_rate / 10 usually
beta2 = 0.998 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

Sun Mar  3 14:42:26 2024
grad_clip= 1.0
found vocab_size = 97 (inside /home/ubuntu/software/jamie_rna_llm/data/231RNAs_Thermo_triples_meta.pkl)
Resuming training from /home/ubuntu/software/jamie_rna_llm/out/231RNAs_triples_0_18_6_300_rot_flash.pt
number of parameters: 19.48M
compiling the model... (takes a ~minute)
iter 979280: loss 0.5973, time 326.20ms, mfu 2.37%
iter 979290: loss 0.5032, time 324.26ms, mfu 2.39%
iter 979300: loss 0.3939, time 326.13ms, mfu 2.41%
iter 979310: loss 0.4963, time 325.04ms, mfu 2.42%
iter 979320: loss 0.4479, time 327.86ms, mfu 2.44%
iter 979330: loss 0.3579, time 326.48ms, mfu 2.45%
iter 979340: loss 0.5048, time 325.73ms, mfu 2.46%
iter 979350: loss 0.4147, time 325.48ms, mfu 2.47%
iter 979360: loss 0.4169, time 324.79ms, mfu 2.48%
iter 979370: loss 0.5488, time 326.80ms, mfu 2.49%
iter 979380: loss 0.4294, time 325.93ms, mfu 2.50%
iter 979390: loss 0.4137, time 326.63ms, mfu 2.51%
iter 979400: loss 0.4611, time 326.91ms, mfu 2.51%
iter 979410: loss 0.6026, time 325.81ms, mfu 2.52%
iter 979420: loss 0.5322, time 326.34ms, mfu 2.52%
iter 979430: loss 0.4207, time 325.01ms, mfu 2.53%
iter 979440: loss 0.4363, time 328.18ms, mfu 2.53%
iter 979450: loss 0.5139, time 326.69ms, mfu 2.53%
iter 979460: loss 0.5961, time 325.95ms, mfu 2.54%
iter 979470: loss 0.4359, time 326.52ms, mfu 2.54%
iter 979480: loss 0.6069, time 327.21ms, mfu 2.54%
iter 979490: loss 0.3823, time 327.95ms, mfu 2.54%
step 979500: train loss 0.4217, val loss 0.4926
iter 979500: loss 0.4676, time 50694.99ms, mfu 2.29%
iter 979510: loss 0.5004, time 326.68ms, mfu 2.32%
iter 979520: loss 0.4691, time 325.58ms, mfu 2.34%
iter 979530: loss 0.3763, time 325.40ms, mfu 2.37%
iter 979540: loss 0.4623, time 325.03ms, mfu 2.39%
iter 979550: loss 0.4817, time 327.85ms, mfu 2.40%
iter 979560: loss 0.4247, time 325.60ms, mfu 2.42%
iter 979570: loss 0.5540, time 326.99ms, mfu 2.43%
iter 979580: loss 0.4404, time 326.72ms, mfu 2.45%
iter 979590: loss 0.4190, time 327.51ms, mfu 2.46%
iter 979600: loss 0.4074, time 326.56ms, mfu 2.47%
iter 979610: loss 0.4401, time 325.96ms, mfu 2.48%
iter 979620: loss 0.4338, time 327.43ms, mfu 2.49%
iter 979630: loss 0.4928, time 325.67ms, mfu 2.50%
iter 979640: loss 0.3805, time 327.34ms, mfu 2.50%
iter 979650: loss 0.5016, time 327.58ms, mfu 2.51%
iter 979660: loss 0.5098, time 327.46ms, mfu 2.51%
iter 979670: loss 0.4803, time 327.45ms, mfu 2.52%
iter 979680: loss 0.4921, time 328.03ms, mfu 2.52%
iter 979690: loss 0.4543, time 327.11ms, mfu 2.52%
iter 979700: loss 0.4184, time 326.02ms, mfu 2.53%
iter 979710: loss 0.4203, time 329.04ms, mfu 2.53%
iter 979720: loss 0.5304, time 327.35ms, mfu 2.53%
iter 979730: loss 0.3925, time 328.83ms, mfu 2.53%
iter 979740: loss 0.5506, time 327.72ms, mfu 2.54%
step 979750: train loss 0.4175, val loss 0.4904
iter 979750: loss 0.4905, time 50736.52ms, mfu 2.28%
iter 979760: loss 0.4564, time 325.49ms, mfu 2.31%
iter 979770: loss 0.5246, time 326.99ms, mfu 2.34%
iter 979780: loss 0.4255, time 326.22ms, mfu 2.36%
iter 979790: loss 0.4729, time 326.12ms, mfu 2.38%
iter 979800: loss 0.4005, time 327.98ms, mfu 2.40%
iter 979810: loss 0.5335, time 326.98ms, mfu 2.42%
iter 979820: loss 0.5741, time 325.66ms, mfu 2.43%
iter 979830: loss 0.4197, time 325.64ms, mfu 2.45%
iter 979840: loss 0.3732, time 327.27ms, mfu 2.46%
iter 979850: loss 0.3798, time 326.15ms, mfu 2.47%
iter 979860: loss 0.3375, time 326.00ms, mfu 2.48%
iter 979870: loss 0.4642, time 327.30ms, mfu 2.49%
iter 979880: loss 0.3570, time 327.70ms, mfu 2.49%
iter 979890: loss 0.5487, time 326.74ms, mfu 2.50%
iter 979900: loss 0.3905, time 326.35ms, mfu 2.51%
iter 979910: loss 0.3843, time 330.03ms, mfu 2.51%
iter 979920: loss 0.4215, time 326.26ms, mfu 2.52%
iter 979930: loss 0.5010, time 325.89ms, mfu 2.52%
iter 979940: loss 0.4032, time 325.84ms, mfu 2.53%
iter 979950: loss 0.4582, time 326.38ms, mfu 2.53%
iter 979960: loss 0.4625, time 327.23ms, mfu 2.53%
iter 979970: loss 0.4910, time 326.99ms, mfu 2.54%
iter 979980: loss 0.6162, time 328.12ms, mfu 2.54%
iter 979990: loss 0.4056, time 324.96ms, mfu 2.54%
step 980000: train loss 0.4109, val loss 0.4747
saving checkpoint to /home/ubuntu/software/jamie_rna_llm/out/231RNAs_Thermo_triples_finetune_0_18_6_300_rot_flash.pt
iter 980000: loss 0.3905, time 51695.32ms, mfu 2.29%
iter 980010: loss 0.5031, time 327.33ms, mfu 2.32%
iter 980020: loss 0.4457, time 325.64ms, mfu 2.34%
iter 980030: loss 0.3918, time 327.61ms, mfu 2.36%
iter 980040: loss 0.4924, time 326.28ms, mfu 2.38%
iter 980050: loss 0.4999, time 328.26ms, mfu 2.40%
iter 980060: loss 0.4167, time 325.84ms, mfu 2.42%
iter 980070: loss 0.4934, time 326.84ms, mfu 2.43%
iter 980080: loss 0.3927, time 326.30ms, mfu 2.45%
iter 980090: loss 0.5712, time 325.50ms, mfu 2.46%
iter 980100: loss 0.4247, time 327.40ms, mfu 2.47%
iter 980110: loss 0.4953, time 327.16ms, mfu 2.48%
iter 980120: loss 0.5480, time 327.13ms, mfu 2.49%
iter 980130: loss 0.4528, time 325.24ms, mfu 2.49%
iter 980140: loss 0.4223, time 327.46ms, mfu 2.50%
iter 980150: loss 0.4379, time 327.89ms, mfu 2.51%
iter 980160: loss 0.3893, time 324.77ms, mfu 2.51%
iter 980170: loss 0.4414, time 326.60ms, mfu 2.52%
iter 980180: loss 0.4275, time 333.43ms, mfu 2.52%
iter 980190: loss 0.3762, time 327.07ms, mfu 2.52%
iter 980200: loss 0.4366, time 326.12ms, mfu 2.53%
iter 980210: loss 0.4443, time 326.84ms, mfu 2.53%
iter 980220: loss 0.3622, time 326.07ms, mfu 2.53%
iter 980230: loss 0.4502, time 324.46ms, mfu 2.54%
iter 980240: loss 0.5269, time 325.86ms, mfu 2.54%
step 980250: train loss 0.4181, val loss 0.4749
iter 980250: loss 0.4003, time 50705.82ms, mfu 2.29%
iter 980260: loss 0.4287, time 326.64ms, mfu 2.32%
iter 980270: loss 0.3776, time 325.48ms, mfu 2.34%
iter 980280: loss 0.3979, time 327.64ms, mfu 2.36%
